person_a,person_a_role,person_b,person_b_role,year,country,identifier
Lys Assia,artist,Géo Voumard,composers,1956,CH,1956_CH
Lys Assia,artist,Émile Gardaz,lyricists,1956,CH,1956_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1956,CH,1956_CH
Jetty Paerl,artist,Cor Lemaire,composers,1956,NL,1956_NL
Jetty Paerl,artist,Annie M. G. Schmidt,lyricists,1956,NL,1956_NL
Cor Lemaire,composers,Annie M. G. Schmidt,lyricists,1956,NL,1956_NL
Lys Assia,artist,George Betz-Stahl,writers,1956,CH,1956_CH
Fud Leclerc,artist,Jean Miret,composers,1956,BE,1956_BE
Fud Leclerc,artist,Robert Montal,lyricists,1956,BE,1956_BE
Jean Miret,composers,Robert Montal,lyricists,1956,BE,1956_BE
Walter Andreas Schwarz,artist,Walter Andreas Schwarz,writers,1956,DE,1956_DE
Mathé Altéry,artist,André Lodge,composers,1956,FR,1956_FR
Mathé Altéry,artist,Rachèle Thoreau,lyricists,1956,FR,1956_FR
André Lodge,composers,Rachèle Thoreau,lyricists,1956,FR,1956_FR
Michèle Arnaud,artist,Christian Guitreau,writers,1956,LU,1956_LU
Franca Raimondi,artist,Virgilio Panzuti,composers,1956,IT,1956_IT
Franca Raimondi,artist,Pinchi,lyricists,1956,IT,1956_IT
Virgilio Panzuti,composers,Pinchi,lyricists,1956,IT,1956_IT
Corry Brokken,artist,Jelle de Vries,writers,1956,NL,1956_NL
Mony Marc,artist,Claude Alix,composers,1956,BE,1956_BE
Mony Marc,artist,David Bee,lyricists,1956,BE,1956_BE
Claude Alix,composers,David Bee,lyricists,1956,BE,1956_BE
Freddy Quinn,artist,Lothar Olias,composers,1956,DE,1956_DE
Freddy Quinn,artist,Peter Mösser,lyricists,1956,DE,1956_DE
Lothar Olias,composers,Peter Mösser,lyricists,1956,DE,1956_DE
Dany Dauberson,artist,Simone Vallauris,writers,1956,FR,1956_FR
Michèle Arnaud,artist,Simone Laurencin,composers,1956,LU,1956_LU
Michèle Arnaud,artist,Jacques Lassry,lyricists,1956,LU,1956_LU
Simone Laurencin,composers,Jacques Lassry,lyricists,1956,LU,1956_LU
Tonina Torielli,artist,Vittorio Mascheroni,composers,1956,IT,1956_IT
Tonina Torielli,artist,Mario Panzeri,lyricists,1956,IT,1956_IT
Vittorio Mascheroni,composers,Mario Panzeri,lyricists,1956,IT,1956_IT
Corry Brokken,artist,Guus Jansen,composers,1957,NL,1957_NL
Corry Brokken,artist,Willy van Hemert,lyricists,1957,NL,1957_NL
Corry Brokken,artist,Sem Nijveen,backings,1957,NL,1957_NL
Guus Jansen,composers,Willy van Hemert,lyricists,1957,NL,1957_NL
Guus Jansen,composers,Sem Nijveen,backings,1957,NL,1957_NL
Willy van Hemert,lyricists,Sem Nijveen,backings,1957,NL,1957_NL
Paule Desjardins,artist,Guy Lafarge,composers,1957,FR,1957_FR
Paule Desjardins,artist,Francis Carco,lyricists,1957,FR,1957_FR
Guy Lafarge,composers,Francis Carco,lyricists,1957,FR,1957_FR
Birthe Wilke & Gustav Winckler,artist,Erik Fiehn,composers,1957,DK,1957_DK
Birthe Wilke & Gustav Winckler,artist,Poul Sørensen,lyricists,1957,DK,1957_DK
Erik Fiehn,composers,Poul Sørensen,lyricists,1957,DK,1957_DK
Danièle Dupré,artist,Jean-Pierre Kemmer,composers,1957,LU,1957_LU
Danièle Dupré,artist,Jacques Taber,lyricists,1957,LU,1957_LU
Jean-Pierre Kemmer,composers,Jacques Taber,lyricists,1957,LU,1957_LU
Margot Hielscher,artist,Friedrich Meyer,composers,1957,DE,1957_DE
Margot Hielscher,artist,Ralph Maria Siegel,lyricists,1957,DE,1957_DE
Friedrich Meyer,composers,Ralph Maria Siegel,lyricists,1957,DE,1957_DE
Nunzio Gallo,artist,Mario Ruccione,composers,1957,IT,1957_IT
Nunzio Gallo,artist,Giuseppe Fiorelli,lyricists,1957,IT,1957_IT
Nunzio Gallo,artist,Piero Gozio,backings,1957,IT,1957_IT
Mario Ruccione,composers,Giuseppe Fiorelli,lyricists,1957,IT,1957_IT
Mario Ruccione,composers,Piero Gozio,backings,1957,IT,1957_IT
Giuseppe Fiorelli,lyricists,Piero Gozio,backings,1957,IT,1957_IT
Patricia Bredin,artist,Reynell Wreford,composers,1957,GB,1957_GB
Patricia Bredin,artist,Alan Stranks,lyricists,1957,GB,1957_GB
Reynell Wreford,composers,Alan Stranks,lyricists,1957,GB,1957_GB
Bobbejaan Schoepen,artist,Harry Frékin,composers,1957,BE,1957_BE
Bobbejaan Schoepen,artist,Eric Franssen,lyricists,1957,BE,1957_BE
Harry Frékin,composers,Eric Franssen,lyricists,1957,BE,1957_BE
Lys Assia,artist,Géo Voumard,composers,1957,CH,1957_CH
Lys Assia,artist,Émile Gardaz,lyricists,1957,CH,1957_CH
Géo Voumard,composers,Émile Gardaz,lyricists,1957,CH,1957_CH
Bob Martin,artist,Kurt Svab,composers,1957,AT,1957_AT
Bob Martin,artist,Kurt Svab,lyricists,1957,AT,1957_AT
Kurt Svab,composers,Kurt Svab,lyricists,1957,AT,1957_AT
André Claveau,artist,Pierre Delanoë,composers,1958,FR,1958_FR
André Claveau,artist,Hubert Giraud,lyricists,1958,FR,1958_FR
Pierre Delanoë,composers,Hubert Giraud,lyricists,1958,FR,1958_FR
Lys Assia,artist,Paul Burkhard,composers,1958,CH,1958_CH
Lys Assia,artist,Fridolin Tschudi,lyricists,1958,CH,1958_CH
Paul Burkhard,composers,Fridolin Tschudi,lyricists,1958,CH,1958_CH
Domenico Modugno,artist,Domenico Modugno,composers,1958,IT,1958_IT
Domenico Modugno,artist,Franco Migliacci,lyricists,1958,IT,1958_IT
Domenico Modugno,composers,Franco Migliacci,lyricists,1958,IT,1958_IT
Alice Babs,artist,Åke Gerhard,composers,1958,SE,1958_SE
Alice Babs,artist,Gunnar Wersén,lyricists,1958,SE,1958_SE
Åke Gerhard,composers,Gunnar Wersén,lyricists,1958,SE,1958_SE
Fud Leclerc,artist,André Dohet,writers,1958,BE,1958_BE
Liane Augustin,artist,Kurt Werner,writers,1958,AT,1958_AT
Margot Hielscher,artist,Friedrich Meyer,composers,1958,DE,1958_DE
Margot Hielscher,artist,Walter Brandin,lyricists,1958,DE,1958_DE
Friedrich Meyer,composers,Walter Brandin,lyricists,1958,DE,1958_DE
Raquel Rastenni,artist,Sven Ulrik,writers,1958,DK,1958_DK
Corry Brokken,artist,Benny Vreden,writers,1958,NL,1958_NL
Solange Berry,artist,Michel Eric,composers,1958,LU,1958_LU
Solange Berry,artist,Raymond Roche,lyricists,1958,LU,1958_LU
Michel Eric,composers,Raymond Roche,lyricists,1958,LU,1958_LU
Teddy Scholten,artist,Dick Schallies,composers,1959,NL,1959_NL
Teddy Scholten,artist,Willy van Hemert,lyricists,1959,NL,1959_NL
Dick Schallies,composers,Willy van Hemert,lyricists,1959,NL,1959_NL
Pearl Carr & Teddy Johnson,artist,Stan Butcher,composers,1959,GB,1959_GB
Pearl Carr & Teddy Johnson,artist,Syd Cordell,lyricists,1959,GB,1959_GB
Stan Butcher,composers,Syd Cordell,lyricists,1959,GB,1959_GB
Jean Philippe,artist,Hubert Giraud,composers,1959,FR,1959_FR
Jean Philippe,artist,Pierre Cour,lyricists,1959,FR,1959_FR
Hubert Giraud,composers,Pierre Cour,lyricists,1959,FR,1959_FR
Christa Williams,artist,Lothar Löffler,writers,1959,CH,1959_CH
Birthe Wilke,artist,Otto Lington,composers,1959,DK,1959_DK
Birthe Wilke,artist,Carl Andersen,lyricists,1959,DK,1959_DK
