performance_id,Betweenness Centrality,Eigenvector Centrality
2016-ge,0.056725483,0.078551586
2016-cy,0.056725483,0.070887825
2015-ge,0.054531486,0.068426556
2017-bg,0.054433851,0.054837361
2011-bg,0.052889658,0.015986974
2018-at,0.047165139,0.01428017
2017-ge,0.046972168,0.080762135
2016-bg,0.046805917,0.045448053
2013-at,0.046202266,0.003322268
2021-ch,0.042759679,0.048975427
2012-se,0.041179032,0.065074779
2018-au,0.04045709,0.049556169
2023-ch,0.040401664,0.049655336
2015-az,0.040339086,0.222484387
2018-az,0.038205327,1.010899079
2018-bg,0.037842213,0.053414404
2021-mt,0.03679896,0.049179147
2016-hr,0.036373633,0.00040332
2021-al,0.03626964,0.056070938
2018-cy,0.036047566,0.061964277
2019-cy,0.036042392,0.05242313
2014-me,0.03578699,4.58E-05
2023-al,0.035582355,0.048865429
2016-lt,0.035351782,0.048800974
2017-am,0.03512786,0.069831149
2016-am,0.035122687,0.059132308
2011-ru,0.03512047,0.048749135
2022-au,0.03512047,0.039611668
2022-ch,0.03512047,0.043477126
2019-ch,0.03512047,0.055476854
2015-me,0.034380716,8.17E-06
2017-at,0.034206571,0.002973904
2008-ua,0.032903575,1.248206633
2007-by,0.03277248,1.209607841
2006-ru,0.030580556,0.905868579
2021-md,0.029669078,1.437780175
2016-at,0.028543476,0.003286697
2010-dk,0.02821187,0.024720218
2023-at,0.027851757,0.003273426
2023-de,0.027851757,0.002950998
2023-gb,0.027851757,0.002660635
2023-au,0.027851757,0.002950998
2014-at,0.027851757,0.002919935
2017-de,0.027851757,0.003273426
2012-at,0.027851757,0.002919935
2015-at,0.027851757,0.003273426
2023-ge,0.027851757,0.003273426
2023-am,0.027851757,0.002660635
2019-ru,0.026151988,1.223042236
2017-mk,0.02448976,0.043765796
2021-gr,0.023953658,0.975987714
2008-ge,0.023842614,0.259299807
2010-rs,0.022651373,1.41E-06
2010-az,0.022642309,0.165707424
2004-gr,0.022569861,1.132734975
2013-se,0.022459736,0.03855129
2018-mt,0.022360429,0.036171314
2013-ge,0.02193765,0.033421203
2019-mt,0.021768016,0.037912266
2007-es,0.021710095,0.027827095
2017-cy,0.021605013,0.039324809
2018-md,0.021473283,1.110372208
2016-ru,0.020788461,1.164065269
2014-ru,0.020782056,1.133618952
2013-rs,0.020750513,1.53E-06
2007-no,0.019872901,0.024278938
2013-az,0.019765352,1.043062411
2017-gr,0.019634257,1.108778635
2006-se,0.019411016,0.024227551
2023-se,0.019411016,0.025695746
2012-rs,0.019231046,6.91E-06
2017-az,0.018809402,0.212572409
2008-ru,0.018664649,0.795653433
2022-gr,0.018589639,0.658758905
2019-es,0.018589639,0.738199337
2005-gr,0.018589639,0.972827832
2007-rs,0.018582375,5.04E-07
2014-ua,0.01857107,0.159605865
2016-rs,0.018270646,7.63E-06
2024-at,0.017283669,0.000757518
2021-cy,0.017283669,0.000849392
2022-az,0.015756755,0.003724761
2019-nl,0.015143364,0.005943182
2015-rs,0.014842535,3.39E-07
2021-hr,0.013957815,0.000253293
2010-am,0.013370659,0.251944581
2012-si,0.01303144,7.50E-08
2007-am,0.012682635,0.253773698
2013-ua,0.011990916,0.283987851
2011-si,0.011781764,9.62E-09
2016-au,0.01072922,0.006383622
2022-am,0.010327768,0.000198559
2022-de,0.010327768,0.000196461
2022-at,0.010327768,0.000196461
2022-cy,0.010327768,0.000220296
2022-gb,0.010327768,0.000178988
2021-ee,0.010327768,0.000198559
2021-cz,0.010327768,0.000198559
2021-es,0.010327768,0.000220296
2021-bg,0.010327768,0.000196461
2024-de,0.010327768,0.000220296
2021-at,0.010327768,0.000209528
2012-ie,0.010282171,0.212970251
2005-si,0.009737091,1.15E-09
2011-ie,0.009186709,0.026659557
2017-si,0.008804638,1.28E-10
