talent,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Roles,performance_ids
Ruslana,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, composers",2004-ua
Sherena Dugani,0.000429738,0.0,0.000429738,8.51e-68,lyricists,2004-ua
Željko Joksimović,0.006446068,0.001467181,0.034485082,1.01e-06,"artist, composers","2004-cs, 2006-ba, 2008-rs, 2012-rs, 2015-me"
Leontina Vukomanović,0.000429738,0.0,0.030577813,9.89e-08,lyricists,2004-cs
Sakis Rouvas,0.003867641,0.000114049,0.042716161,0.125298748,artist,"2004-gr, 2009-gr"
Nikos Terzis,0.003008165,0.000108086,0.042857031,0.121494428,composers,"2004-gr, 2005-by"
Nektarios Tirakis,0.003008165,0.000108086,0.042857031,0.121494428,lyricists,"2004-gr, 2005-by"
Yianna Fafaliou,0.002148689,0.0,0.042673002,0.100308639,backings,2004-gr
Fokas Evangelinos,0.022346369,0.018589639,0.050325414,0.542086819,stageDirector,"2004-gr, 2005-gr, 2006-ru, 2007-by, 2008-ru, 2008-ua, 2013-az, 2014-ru, 2016-ru, 2017-gr, 2018-md, 2018-az, 2019-ru, 2019-es, 2021-gr, 2021-md, 2022-gr"
Maria Liraraki,0.009024495,0.00365,0.042846162,0.122051912,"stageDirector, dancers","2004-gr, 2007-gr, 2013-gr, 2013-cy, 2015-gr, 2016-gr"
Athena,0.000429738,0.0,0.000429738,8.1e-80,artist,2004-tr
Hakan Özoğuz,0.000429738,0.0,0.000429738,8.1e-80,writers,2004-tr
Lisa Andreas,0.000429738,0.0,0.000773528,2.82e-59,artist,2004-cy
Mike Connaris,0.001289214,7.39e-07,0.001289214,6.12e-59,writers,"2004-cy, 2015-cy"
Lena Philipsson,0.000859476,0.0,0.033747985,1.72e-05,artist,2004-se
Micke Blomqvist,0.002148689,0.000461885,0.038562523,0.000158497,backings,"2004-se, 2015-se"
Thomas 'Orup' Eriksson,0.000859476,0.0,0.033747985,1.72e-05,writers,2004-se
Anjeza Shahini,0.001289214,0.0,0.001914287,7.56e-36,artist,2004-al
Edmond Zhulali,0.003008165,4.43e-06,0.003008165,1.75e-35,composers,"2004-al, 2009-al"
Xhuli Teilor,0.001289214,0.0,0.001914287,7.56e-36,lyricists,2004-al
Tergita Gusta,0.001289214,0.0,0.001914287,7.56e-36,backings,2004-al
Max,0.000859476,0.0,0.000859476,1.67e-61,artist,2004-de
Stefan Raab,0.000859476,0.0,0.000859476,1.67e-61,writers,2004-de
Wolfgang Norman Dalheimer,0.000859476,0.0,0.000859476,1.67e-61,backings,2004-de
Deen,0.000859476,0.0,0.001145968,8.089999999999999e-54,artist,2004-ba
Vesna Pisarović,0.000859476,0.0,0.001145968,8.089999999999999e-54,writers,2004-ba
Maja Sarihodžić,0.001718951,1.48e-06,0.001718951,1.26e-53,"writers, backings","2004-ba, 2012-ba"
Ramón,0.000859476,0.0,0.000859476,1.67e-61,artist,2004-es
Kike Santander,0.000859476,0.0,0.000859476,1.67e-61,writers,2004-es
Tomás,0.000859476,0.0,0.000859476,1.67e-61,backings,2004-es
Julia Savicheva,0.001289214,0.0,0.00252787,1.26e-38,artist,2004-ru
Maxim Fadeev,0.003437903,1.15e-05,0.003581149,2.25e-38,composers,"2004-ru, 2007-ru, 2010-by"
Brenda Loring,0.001289214,0.0,0.00252787,1.26e-38,lyricists,2004-ru
Kamel Ouali,0.002148689,5.91e-06,0.002864919,1.51e-38,stageDirector,"2004-ru, 2004-fr"
Julie & Ludwig,0.000859476,0.0,0.002904435,2.83e-28,artist,2004-mt
