person_a,person_a_role,person_b,person_b_role,year,country,performance_id
Ruslana,artist,Ruslana,composers,2004,UA,2004-ua
Ruslana,artist,Sherena Dugani,lyricists,2004,UA,2004-ua
Ruslana,composers,Sherena Dugani,lyricists,2004,UA,2004-ua
Željko Joksimović,artist,Željko Joksimović,composers,2004,CS,2004-cs
Željko Joksimović,artist,Leontina Vukomanović,lyricists,2004,CS,2004-cs
Željko Joksimović,composers,Leontina Vukomanović,lyricists,2004,CS,2004-cs
Sakis Rouvas,artist,Nikos Terzis,composers,2004,GR,2004-gr
Sakis Rouvas,artist,Nektarios Tirakis,lyricists,2004,GR,2004-gr
Sakis Rouvas,artist,Yianna Fafaliou,backings,2004,GR,2004-gr
Sakis Rouvas,artist,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Sakis Rouvas,artist,Maria Liraraki,dancers,2004,GR,2004-gr
Nikos Terzis,composers,Nektarios Tirakis,lyricists,2004,GR,2004-gr
Nikos Terzis,composers,Yianna Fafaliou,backings,2004,GR,2004-gr
Nikos Terzis,composers,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Nikos Terzis,composers,Maria Liraraki,dancers,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Yianna Fafaliou,backings,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Nektarios Tirakis,lyricists,Maria Liraraki,dancers,2004,GR,2004-gr
Yianna Fafaliou,backings,Fokas Evangelinos,stageDirector,2004,GR,2004-gr
Yianna Fafaliou,backings,Maria Liraraki,dancers,2004,GR,2004-gr
Fokas Evangelinos,stageDirector,Maria Liraraki,dancers,2004,GR,2004-gr
Athena,artist,Hakan Özoğuz,writers,2004,TR,2004-tr
Lisa Andreas,artist,Mike Connaris,writers,2004,CY,2004-cy
Lena Philipsson,artist,Micke Blomqvist,backings,2004,SE,2004-se
Lena Philipsson,artist,Thomas 'Orup' Eriksson,writers,2004,SE,2004-se
Micke Blomqvist,backings,Thomas 'Orup' Eriksson,writers,2004,SE,2004-se
Anjeza Shahini,artist,Edmond Zhulali,composers,2004,AL,2004-al
Anjeza Shahini,artist,Xhuli Teilor,lyricists,2004,AL,2004-al
Anjeza Shahini,artist,Tergita Gusta,backings,2004,AL,2004-al
Edmond Zhulali,composers,Xhuli Teilor,lyricists,2004,AL,2004-al
Edmond Zhulali,composers,Tergita Gusta,backings,2004,AL,2004-al
Xhuli Teilor,lyricists,Tergita Gusta,backings,2004,AL,2004-al
Max,artist,Stefan Raab,writers,2004,DE,2004-de
Max,artist,Wolfgang Norman Dalheimer,backings,2004,DE,2004-de
Stefan Raab,writers,Wolfgang Norman Dalheimer,backings,2004,DE,2004-de
Deen,artist,Vesna Pisarović,writers,2004,BA,2004-ba
Deen,artist,Maja Sarihodžić,backings,2004,BA,2004-ba
Vesna Pisarović,writers,Maja Sarihodžić,backings,2004,BA,2004-ba
Ramón,artist,Kike Santander,writers,2004,ES,2004-es
Ramón,artist,Tomás,backings,2004,ES,2004-es
Kike Santander,writers,Tomás,backings,2004,ES,2004-es
Julia Savicheva,artist,Maxim Fadeev,composers,2004,RU,2004-ru
Julia Savicheva,artist,Brenda Loring,lyricists,2004,RU,2004-ru
Julia Savicheva,artist,Kamel Ouali,stageDirector,2004,RU,2004-ru
Maxim Fadeev,composers,Brenda Loring,lyricists,2004,RU,2004-ru
Maxim Fadeev,composers,Kamel Ouali,stageDirector,2004,RU,2004-ru
Brenda Loring,lyricists,Kamel Ouali,stageDirector,2004,RU,2004-ru
Julie & Ludwig,artist,Philip Vella,composers,2004,MT,2004-mt
Julie & Ludwig,artist,Gerard James Borg,lyricists,2004,MT,2004-mt
Philip Vella,composers,Gerard James Borg,lyricists,2004,MT,2004-mt
Ivan Mikulic,artist,Vedran Ostojić,composers,2004,HR,2004-hr
Ivan Mikulic,artist,Duško Gruborović,lyricists,2004,HR,2004-hr
Ivan Mikulic,artist,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Vedran Ostojić,composers,Duško Gruborović,lyricists,2004,HR,2004-hr
Vedran Ostojić,composers,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Duško Gruborović,lyricists,Vladimir Pavelić-Bubi,backings,2004,HR,2004-hr
Tose Proeski,artist,Jovan Jovanov,composers,2004,MK,2004-mk
Tose Proeski,artist,Ilija Nikolovski,lyricists,2004,MK,2004-mk
Tose Proeski,artist,Tamara Todevska,backings,2004,MK,2004-mk
Jovan Jovanov,composers,Ilija Nikolovski,lyricists,2004,MK,2004-mk
Jovan Jovanov,composers,Tamara Todevska,backings,2004,MK,2004-mk
Ilija Nikolovski,lyricists,Tamara Todevska,backings,2004,MK,2004-mk
Jonatan Cerrada,artist,Steve Balsamo,composers,2004,FR,2004-fr
Jonatan Cerrada,artist,Jonatan Cerrada,lyricists,2004,FR,2004-fr
Jonatan Cerrada,artist,Kamel Ouali,stageDirector,2004,FR,2004-fr
Steve Balsamo,composers,Jonatan Cerrada,lyricists,2004,FR,2004-fr
Steve Balsamo,composers,Kamel Ouali,stageDirector,2004,FR,2004-fr
Jonatan Cerrada,lyricists,Kamel Ouali,stageDirector,2004,FR,2004-fr
James Fox,artist,Gary Miller,composers,2004,GB,2004-gb
James Fox,artist,Tim Woodcock,lyricists,2004,GB,2004-gb
Gary Miller,composers,Tim Woodcock,lyricists,2004,GB,2004-gb
Blue Cafe,artist,Paweł Rurak-Sokal,composers,2004,PL,2004-pl
Blue Cafe,artist,Tatiana Okupnik,lyricists,2004,PL,2004-pl
Paweł Rurak-Sokal,composers,Tatiana Okupnik,lyricists,2004,PL,2004-pl
Sanda Ladosi,artist,George Popa,composers,2004,RO,2004-ro
Sanda Ladosi,artist,Irina Gligor,lyricists,2004,RO,2004-ro
George Popa,composers,Irina Gligor,lyricists,2004,RO,2004-ro
Jónsi,artist,Sveinn Rúnar Sigurðsson,composers,2004,IS,2004-is
Jónsi,artist,Magnús Þór Sigmundsson,lyricists,2004,IS,2004-is
Sveinn Rúnar Sigurðsson,composers,Magnús Þór Sigmundsson,lyricists,2004,IS,2004-is
Re,artist,Tarif Heljanan,backings,2004,NL,2004-nl
Re,artist,Ed van Otterdijk,composers,2004,NL,2004-nl
Re,artist,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Tarif Heljanan,backings,Ed van Otterdijk,composers,2004,NL,2004-nl
Tarif Heljanan,backings,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Ed van Otterdijk,composers,Angeline van Otterdijk,lyricists,2004,NL,2004-nl
Tie Break,artist,Peter Zimmermann,writers,2004,AT,2004-at
Xandee,artist,Patrick Vinx,backings,2004,BE,2004-be
Xandee,artist,Marc Paelinck,composers,2004,BE,2004-be
Xandee,artist,Dirk Paelinck,lyricists,2004,BE,2004-be
Patrick Vinx,backings,Marc Paelinck,composers,2004,BE,2004-be
Patrick Vinx,backings,Dirk Paelinck,lyricists,2004,BE,2004-be
Marc Paelinck,composers,Dirk Paelinck,lyricists,2004,BE,2004-be
Chris Doran,artist,Bryan McFadden,composers,2004,IE,2004-ie
Chris Doran,artist,Jonathan Shorten,lyricists,2004,IE,2004-ie
Bryan McFadden,composers,Jonathan Shorten,lyricists,2004,IE,2004-ie
Knut Anders Sørum,artist,Håvard Gryting,backings,2004,NO,2004-no
Knut Anders Sørum,artist,Thomas Thörnholm,composers,2004,NO,2004-no
Knut Anders Sørum,artist,Dan Attlerud,lyricists,2004,NO,2004-no
Håvard Gryting,backings,Thomas Thörnholm,composers,2004,NO,2004-no
Håvard Gryting,backings,Dan Attlerud,lyricists,2004,NO,2004-no
Thomas Thörnholm,composers,Dan Attlerud,lyricists,2004,NO,2004-no
Neiokõsõ,artist,Priit Pajusaar,composers,2004,EE,2004-ee
Neiokõsõ,artist,Aapo Ilves,lyricists,2004,EE,2004-ee
Priit Pajusaar,composers,Aapo Ilves,lyricists,2004,EE,2004-ee
David D'or,artist,Tomer Bachar,backings,2004,IL,2004-il
David D'or,artist,Ofer Meiri,composers,2004,IL,2004-il
David D'or,artist,David D'or,lyricists,2004,IL,2004-il
Tomer Bachar,backings,Ofer Meiri,composers,2004,IL,2004-il
Tomer Bachar,backings,David D'or,lyricists,2004,IL,2004-il
Ofer Meiri,composers,David D'or,lyricists,2004,IL,2004-il
Tomas Thordarson,artist,Mads Enggaard,backings,2004,DK,2004-dk
Tomas Thordarson,artist,Ivar Lind Greiner,composers,2004,DK,2004-dk
Tomas Thordarson,artist,Iben Plesner,lyricists,2004,DK,2004-dk
Mads Enggaard,backings,Ivar Lind Greiner,composers,2004,DK,2004-dk
Mads Enggaard,backings,Iben Plesner,lyricists,2004,DK,2004-dk
Ivar Lind Greiner,composers,Iben Plesner,lyricists,2004,DK,2004-dk
Jari Sillanpää,artist,Riikka Timonen,backings,2004,FI,2004-fi
Jari Sillanpää,artist,Mika Toivanen,composers,2004,FI,2004-fi
Jari Sillanpää,artist,Jari Sillanpää,lyricists,2004,FI,2004-fi
Riikka Timonen,backings,Mika Toivanen,composers,2004,FI,2004-fi
Riikka Timonen,backings,Jari Sillanpää,lyricists,2004,FI,2004-fi
Mika Toivanen,composers,Jari Sillanpää,lyricists,2004,FI,2004-fi
Sofia,artist,Vânia de Oliveira,backings,2004,PT,2004-pt
Sofia,artist,Paulo Neves,writers,2004,PT,2004-pt
Vânia de Oliveira,backings,Paulo Neves,writers,2004,PT,2004-pt
