Identifiers,Betweenness Centrality
2017_BG,0.05506599
2016_CY,0.054816317
2016_GE,0.054816317
2011_BG,0.054123151
2015_GE,0.052503333
2018_AT,0.048282713
2017_GE,0.047555069
2016_BG,0.047455671
2013_AT,0.047130554
2021_CH,0.043263243
2018_AU,0.040850038
2023_CH,0.040817673
2015_AZ,0.040750382
2018_AZ,0.039076142
2012_SE,0.039052576
2018_BG,0.038132835
2016_HR,0.036970927
2021_MT,0.036532448
2014_ME,0.03635865
2018_CY,0.036234207
2019_CY,0.036228467
2023_AL,0.035743819
2016_LT,0.03550088
2017_AM,0.035265322
2016_AM,0.035259582
2022_AU,0.035257122
2021_AL,0.035257122
2022_CH,0.035257122
2011_RU,0.035257122
2019_CH,0.035257122
2015_ME,0.034896634
2017_AT,0.034841313
2008_UA,0.033888855
2007_BY,0.033748383
2006_RU,0.031526392
2021_MD,0.029899734
2016_AT,0.029202661
2023_AT,0.028473845
2015_AT,0.028473845
2023_AU,0.028473845
2023_DE,0.028473845
2023_GE,0.028473845
2023_GB,0.028473845
2012_AT,0.028473845
2017_DE,0.028473845
2023_AM,0.028473845
2014_AT,0.028473845
2019_RU,0.026909168
2010_DK,0.025805974
2008_GE,0.024783943
2017_MK,0.024682078
2021_GR,0.024680077
2010_AZ,0.023229243
2004_GR,0.023221329
2010_RS,0.022879964
2013_SE,0.022535181
2018_MD,0.021991203
2019_MT,0.021806365
2016_RU,0.021270033
2014_RU,0.021262933
2013_RS,0.020873509
2013_AZ,0.020272597
2017_GR,0.020132125
2013_GE,0.019822979
2007_ES,0.019668224
2012_RS,0.019590158
2017_CY,0.019559195
2017_AZ,0.019195559
2008_RU,0.019120696
2022_GR,0.019040396
2005_GR,0.019040396
2019_ES,0.019040396
2014_UA,0.018944017
2016_RS,0.018579061
2007_RS,0.018239862
2007_NO,0.017732908
2023_SE,0.017246211
2006_SE,0.017246211
2018_MT,0.017246211
2021_CY,0.016713354
2019_NL,0.015900604
2022_AZ,0.015176426
2015_RS,0.01463141
2010_AM,0.013939531
2021_HR,0.013918162
2007_AM,0.013214812
2013_UA,0.012485996
2012_SI,0.012371438
2016_AU,0.011285998
2011_SI,0.011043674
2012_IE,0.010813087
2021_ES,0.010096691
2021_EE,0.010096691
2022_AM,0.010096691
2022_AT,0.010096691
2021_CZ,0.010096691
2022_CY,0.010096691
2021_BG,0.010096691
2022_DE,0.010096691
2021_AT,0.010096691
2022_GB,0.010096691
2011_IE,0.009664699
2005_SI,0.008875866
2008_ME,0.008593995
2018_DK,0.008559763
2021_AZ,0.008559763
2004_DK,0.008559763
2023_AZ,0.008559763
2018_FI,0.008293099
2018_CH,0.008258686
2023_PL,0.008213212
2011_BA,0.008108117
2010_BA,0.008108117
2018_RS,0.008108117
2019_ME,0.008108117
2023_EE,0.008006121
2015_NL,0.007894483
2021_NL,0.007894483
2016_NL,0.007894483
2018_NL,0.007894483
2017_ES,0.007894483
2016_BE,0.007894483
2014_NL,0.007894483
2018_BE,0.007894483
2023_BE,0.007894483
2017_SI,0.007870313
2019_CZ,0.007038053
2016_FI,0.00693379
2011_AZ,0.006931332
2023_CY,0.006616663
2021_SM,0.006616663
2018_DE,0.006616663
2013_DK,0.006616663
2015_LV,0.006462661
2010_HR,0.006222181
2022_PL,0.005560551
2017_CH,0.0054991
2017_IE,0.005256161
2006_SI,0.005195529
2016_IT,0.005012403
2005_BA,0.004575687
2012_AZ,0.004536768
2018_SI,0.004324555
2016_SI,0.004324555
2014_AZ,0.004285226
2011_RS,0.00408981
2018_EE,0.003856703
2015_MK,0.003845829
2007_GR,0.003843593
2013_GR,0.003843593
2015_GR,0.003843593
2016_GR,0.003843593
2013_CY,0.003843593
2022_SI,0.003837858
2022_HR,0.003837858
2018_HR,0.003821471
2008_GR,0.003726482
2021_SE,0.003523581
2005_BY,0.003212758
2013_FI,0.003131984
2019_FI,0.003131984
2021_FI,0.003131984
2015_FI,0.003131984
2017_FI,0.003131984
2018_GR,0.002997666
2012_GR,0.002997666
2017_CZ,0.002752828
2021_PL,0.002652661
2015_PL,0.002652661
2014_PL,0.002652661
2019_LV,0.002646106
2015_ES,0.002179894
2010_SE,0.002179074
2016_LV,0.002179074
2008_PT,0.002175796
2012_PT,0.002175796
2007_SI,0.002174977
2009_SI,0.002174977
2015_SE,0.001697294
2012_ES,0.001693197
2006_BA,0.001638226
2012_GE,0.001613207
2008_RS,0.001545726
2004_CS,0.001545726
2016_CZ,0.001477502
2018_CZ,0.001477502
2014_EE,0.001454355
2015_AM,0.001453535
2006_AM,0.001453535
2009_GR,0.001213977
2019_GB,0.001044882
2012_CY,0.000971345
2009_RS,0.000970116
2016_ME,0.000728816
2017_LV,0.000728816
2008_AM,0.000728816
2017_RS,0.000728816
2017_SE,0.000728816
2016_ES,0.000728816
2019_AZ,0.000728816
2005_LT,0.000728816
2007_CY,0.000728816
2018_SM,0.000728816
2018_ME,0.000534629
2018_ES,0.000486697
2005_NO,0.000486697
2010_SI,0.000486697
2004_SE,0.000486697
2019_AL,0.000486697
2016_CH,0.000486697
2021_SI,0.000486697
2007_GE,0.000486697
2007_MK,0.000485878
2015_NO,0.000356621
2021_NO,0.000341921
2018_NO,0.000310126
2009_NO,0.000310126
2016_NO,0.000309921
2011_NO,0.000309921
2014_NO,0.000309921
2014_RO,0.000309921
2019_NO,0.000309921
2017_NO,0.000309921
2022_NO,0.000309921
2010_NO,0.000309921
2015_DK,0.000276094
2012_EE,0.000243758
2012_LT,0.000243758
2023_IE,0.000243758
2014_DK,0.000198694
2016_DK,0.000198694
2006_DK,0.000198694
2007_DK,0.000198694
2022_DK,0.000198694
2021_DK,0.000198694
2005_DK,0.000198694
2012_DK,0.0001155
2019_LT,0.0001051
2018_LT,9.69E-05
2022_LT,9.59E-05
2015_IL,9.05E-05
2009_SE,8.84E-05
2023_LT,8.79E-05
2021_DE,8.79E-05
2017_LT,8.79E-05
2021_LT,8.79E-05
2014_BY,8.43E-05
2013_IL,8.23E-05
2008_IL,8.23E-05
2010_IL,8.23E-05
2016_IL,8.23E-05
2018_IL,8.23E-05
2015_SM,7.29E-05
2019_FR,6.92E-05
2008_IS,6.39E-05
2015_BY,6.09E-05
2016_HU,5.98E-05
2011_SE,5.98E-05
2014_MK,5.57E-05
2004_MK,5.57E-05
2013_SM,5.49E-05
2014_SM,5.49E-05
2012_SM,5.47E-05
2017_SM,5.30E-05
2006_CH,5.30E-05
2010_MD,4.76E-05
2013_NO,4.67E-05
2008_SE,4.42E-05
2011_CY,4.35E-05
2017_MD,4.27E-05
2019_HU,3.93E-05
2010_IS,3.93E-05
2017_HU,3.85E-05
2018_HU,3.85E-05
2009_DK,3.81E-05
2007_IS,3.69E-05
2013_MD,3.61E-05
2017_MT,3.58E-05
2012_IS,3.54E-05
2016_IS,3.54E-05
2013_IS,3.50E-05
2005_CY,3.28E-05
2008_CY,3.28E-05
2009_CY,3.28E-05
2023_NO,3.20E-05
2022_FR,3.07E-05
2021_FR,3.07E-05
2007_MT,2.46E-05
2008_MT,2.46E-05
2004_MT,2.46E-05
2009_EE,2.21E-05
2014_FR,2.13E-05
2009_HU,2.13E-05
2011_BY,2.08E-05
2005_CH,2.01E-05
2005_DE,2.01E-05
2016_MD,1.97E-05
2004_RU,1.93E-05
2015_GB,1.84E-05
2017_GB,1.84E-05
2016_GB,1.84E-05
2018_GB,1.84E-05
2010_CH,1.72E-05
2018_FR,1.72E-05
2009_MK,1.72E-05
2009_BA,1.72E-05
2015_LT,1.70E-05
2021_IE,1.56E-05
2015_AL,1.47E-05
2011_ES,1.40E-05
2017_EE,1.35E-05
2022_MT,1.35E-05
2011_EE,1.35E-05
2005_EE,1.35E-05
2016_MT,1.31E-05
2021_UA,1.31E-05
2016_UA,1.31E-05
2018_UA,1.31E-05
2007_RU,1.27E-05
2010_BY,1.27E-05
2004_IS,1.23E-05
2009_IS,1.23E-05
2023_MD,1.15E-05
2019_SM,1.15E-05
2019_AM,1.11E-05
2006_MK,1.11E-05
2006_AD,1.07E-05
2013_BY,1.07E-05
2004_BE,1.07E-05
2005_AD,1.07E-05
2009_MT,1.07E-05
2004_LT,1.07E-05
2011_AM,9.83E-06
2010_GR,9.83E-06
2017_AL,9.02E-06
2008_HU,9.02E-06
2017_PL,8.60E-06
2019_PL,8.60E-06
2018_PL,8.60E-06
2007_EE,8.60E-06
2008_BY,8.60E-06
2014_SI,7.38E-06
2015_SI,7.38E-06
2014_AL,7.37E-06
2011_AL,7.37E-06
2010_MT,7.37E-06
2013_SI,6.76E-06
2004_FR,6.55E-06
2012_RU,6.15E-06
2018_MK,6.15E-06
2018_AM,6.15E-06
2009_UA,6.15E-06
2006_AL,6.15E-06
2016_BY,6.15E-06
2018_BY,6.15E-06
2019_MK,6.14E-06
2021_MK,6.14E-06
2005_SE,5.74E-06
2008_AL,5.74E-06
2007_AL,5.74E-06
2009_AL,4.92E-06
2008_MK,4.92E-06
2023_SM,4.92E-06
2011_HU,4.92E-06
2005_AL,4.92E-06
2007_AD,4.92E-06
2004_AL,4.92E-06
2014_AM,4.92E-06
2022_RO,4.92E-06
2017_RO,4.92E-06
2017_BE,4.51E-06
2017_IL,4.10E-06
2007_HU,4.10E-06
2015_BE,4.10E-06
2016_SE,3.69E-06
2019_RO,3.69E-06
2004_BY,3.69E-06
2014_PT,3.69E-06
2017_HR,3.69E-06
2014_SE,3.69E-06
2018_RO,3.69E-06
2019_HR,3.69E-06
2009_BY,3.69E-06
2007_PT,3.69E-06
2019_BE,3.28E-06
2016_PL,3.28E-06
2014_ES,3.28E-06
2022_IS,3.28E-06
2014_HU,3.28E-06
