year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,manually_replaced_url,performance_id,fraction_of_total_points,fraction_of_jury_points,fraction_of_tele_points,views,upload_date,likes,comments,video_title,fraction_of_views,view_rank,point_rank,weighted_average_total_rank,point_jury_rank,point_tele_rank,spotify_popularity,notes,spotify_rank
2009,no,Norway,Alexander Rybak,Fairytale,1,2,20,6,1,387,1,201,378,312,,,Alexander Rybak,,"Years ago, when I was younger\nI kinda liked a girl I knew\nShe was mine and we were sweethearts\nThat was then, but then it's true\n\nI'm in love with a fairytale\nEven though it hurts\n'Cause I don't care if I lose my mind\nI'm already cursed\n\nEvery day we started fighting\nEvery night we fell in love\nNo one else could make me sadder\nBut no one else could lift me high above\n\nI don't know what I was doing\nWhen suddenly, we fell apart\nNowadays, I cannot find her\nBut when I do, we'll get a brand new start\n\nI'm in love with a fairytale\nEven though it hurts\n'Cause I don't care if I lose my mind\nI'm already cursed\n\nShe's a fairytale, yeah...\nEven though it hurts\n'Cause I don't care if I lose my mind\nI'm already cursed",https://youtube.com/watch?v=WXwgZL4zx9o,,2009-no,0.158866995073892,0.132540356839422,0.15,80125013,20120412,1939107,51000,Alexander Rybak - Fairytale - LIVE | Norway 🇳🇴 | Grand Final | Eurovision 2009,0.121331895487889,1,1,1.66666666666667,2,2,73,"Fixed, was not present",1
2004,ua,Ukraine,Ruslana,Wild Dances,1,0,10,11,1,280,2,256,,,,,Ruslana,Fayney;Jamie Maher;Oleksandr Ksenofontov;Ruslana;Sherena Dugani,"Just maybe I'm crazy\nThe world spins round and round and round\nShee ree kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nI want you to want me\nAs I dance round and round and round\nShee ree kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nForever and ever\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey\n\nNapevno, daremno\nBula ya nadto chemna\nHey, shee kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nDlya tebe, dlya sebe\nZastelyu tsile nebo\nHey... dam dei\nShee ree kee dai, shee kee ree a dam da\n\nBez zhalyu zapalyu\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey... ho...\n\nDance forever, come and be mine\nDance together, till the end of time\nDance together\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey, hey",https://youtube.com/watch?v=10XR67NQcAc,,2004-ua,0.134099616858238,,,28617517,20111019,163883,10000,Ruslana - Wild Dances | Ukraine 🇺🇦 | Grand Final | Eurovision 2004,0.0867055187954942,3,1,1.83333333333333,,,56,Accurate,4
2006,fi,Finland,Lordi,Hard Rock Hallelujah,1,0,17,16,1,292,1,292,,,,,Mr. Lordi,,"Hard rock hallelujah\nHard rock hallelujah\n\nThe saints are crippled on this sinners' night\nLost are the lambs with no guiding light\nThe walls come down like thunder, the rocks about to roll\nIt's the Arockalypse, now bare your soul\n\nAll we need is lightning with power and might\nStriking down the prophets of false\nAs the moon is rising, give us the sign\nNow let us rise up in awe\n\nRock 'n' roll angels, bring that hard rock hallelujah\nDemons and angels all in one have arrived\nRock 'n' roll angels, bring that hard rock hallelujah\nIn God's creation, supernatural high\n\nThe true believers, thou shall be saved\nBrothers and sisters, keep strong in the faith\nOn the Day of Rockoning, it's who dares, wins\nYou will see the jokers soon'll be the new kings\n\nAll we need is lightning with power and might\nStriking down the prophets of false\nAs the moon is rising, give us the sign\nNow let us rise up in awe\n\nRock 'n' roll angels, bring that hard rock hallelujah\nDemons and angels all in one have arrived\nRock 'n' roll angels, bring that hard rock hallelujah\nIn God's creation, supernatural high\n\nWings on my back, I got horns on my head\nMy fangs are sharp and my eyes are red\nNot quite an angel or the one that fell\nNow choose to join us or go straight to hell\n\nHard rock hallelujah\nHard rock hallelujah\nHard rock hallelujah\nHard rock, yeah\n\nRock 'n' roll angels, bring that hard rock hallelujah\nDemons and angels all in one have arrived\nRock 'n' roll angels, bring that hard rock hallelujah\nIn God's creation, supernatural high\n\nHard rock, hallelujah",https://youtube.com/watch?v=gAh9NRGNhUU,,2006-fi,0.132486388384755,,,53986272,20111226,373317,28000,Lordi - Hard Rock Hallelujah - 🇫🇮 Finland - Grand Final - Eurovision 2006 Winner,0.163567919662445,1,2,2.33333333333333,,,55,Accurate (I think?),5
2012,se,Sweden,Loreen,Euphoria,1,2,17,11,1,372,1,181,343,296,,,Peter Boström;Thomas G:son,,"Why, why can't this moment last forevermore?\nTonight, tonight eternity's an open door\nNo, don't ever stop doing the things you do\nDon't go, in every breath I take I'm breathing you\n\nEuphoria\nForever, till the end of time\nFrom now on, only you and I\nWe're going u-u-u-u-u-up...\nEuphoria\nAn everlasting piece of art\nA beating love within my heart\nWe're going u-u-u-u-u-up...\n\nWe are here, we're all alone in our own universe\nWe are free, where everything's allowed and love comes first\nForever and ever together, we sail into infinity\nWe're higher and higher and higher, we're reaching for divinity\n\nEuphoria\nForever, till the end of time\nFrom now on, only you and I\nWe're going u-u-u-u-u-up...\nEuphoria\nAn everlasting piece of art\nA beating love within my heart\nWe're going u-u-u-u-u-up...\n\nForever we sail into infinity\nWe're higher, we're reaching for divinity\nEuphoria... euphoria...\nWe're going u-u-u-u-u-up...\n\nEuphoria\nAn everlasting piece of art\nA beating love within my heart\nWe're going up...\nEuphoria... euphoria...\nWe're going u-u-u-u-u-up...",https://youtube.com/watch?v=Pfo-8z86x80,,2012-se,0.152709359605911,0.121510673234811,0.14022894521668,64289314,20120526,407063,29000,Loreen - Euphoria | Sweden 🇸🇪 | Live - Grand Final - Eurovision 2012,0.0973521754965088,2,3,3.33333333333333,4,4,70,Accurate,2
2004,cs,Serbia & Montenegro,Željko Joksimović,Lane Moje,2,0,5,20,2,263,1,263,,,,,Željko Joksimović,Leontina Vukomanović,"Kad' na te pomislim\nBojim se da te opet zavolim\nU modre usne zarijem zube\nDa pravu bol zaboravim\n\nLane moje, ovih dana\nViše i ne tugujem\nPitam samo da l' si sama\nLjude koje ne čujem\n\nLane moje, noćas kreni\nNije važno bilo s kim\nNađi nekog nalik meni\nDa te barem ne volim\n\n(Nek' neko drugi usne ti ljubi)\n(Da tebe lakše prebolim)\n\nLane moje, ovih dana (Lane moje)\nViše i ne tugujem (Lane moje)\nPitam samo da l' si sama\nLjude koje ne čujem\n\nLane moje, noćas kreni (Lane moje)\nNije važno bilo s' kim\nNađi nekog nalik meni\nDa te barem ne volim\nDa te više ne volim",https://youtube.com/watch?v=z7OvpjplJ_8,,2004-cs,0.12595785440613,,,17506727,20111019,93347,6900,Zeljko Joksimovic - Lane Moje | Serbia & Montenegro | Grand Final | Eurovision 2004,0.0530419828857299,5,3,3.83333333333333,,,44,"Fixed, Too low of popularity",6
2015,se,Sweden,Måns Zelmerlöw,Heroes,1,2,10,13,1,365,1,217,279,363,,,Anton Hård af Segerstad;Joy Deb;Linnea Deb,,Don't tell the gods I left a mess\nI can't undo what has been done\nLet's run for cover\n\nWhat if I'm the only hero left\nYou better fire off your gun\nOnce and forever\n\nHe said go dry your eyes\nAnd live your life like there is no tomorrow son\nAnd tell the others\nTo go sing it like a hummingbird\nThe greatest anthem ever heard\n\nWe are the heroes of our time\nBut we're dancing with the demons in our minds\n\nWe are the heroes of our time\nHeroes\n\nBut were dancing with the demons in our minds\nHeroes\n\nWe are the heroes of our time\nHeroes\n\nBut were dancing with the demons in our minds\nHeroes\n\nThe crickets sing a song for you\nDon't say a word don't make a sound\nIt's lifes creation\n\nI make worms turn into butterflies\nWake up and turn this world around\nIn appreciation\n\nHe said I never left your side\nWhen you were lost I followed right behind\nWas your foundation\n\nNow go sing it like a hummingbird\nThe greatest anthem ever heard\nNow sing together\n\nWe are the heroes of our time\nHeroes\n\nBut we're dancing with the demons in our minds\nHeroes\n\nWe are the heroes\n\n(We keep dancing with the demons)\n(You could be a hero)\n\nNow go sing it like a hummingbird\nThe greatest anthem ever heard\nNow sing together\n\nWe are the heroes of our time\nHeroes\n\nBut we're dancing with the demons in our minds\nHeroes\n\nWe are the heroes of our time\nHeroes\n\nBut were dancing with the demons in our minds\nHeroes\n\nWe are the heroes,https://youtube.com/watch?v=5sGOwFVUU0I,,2015-se,0.157327586206897,0.14124513618677,0.120258620689655,53129053,20150523,417685,18000,Måns Zelmerlöw - Heroes (Sweden) - LIVE at Eurovision 2015 Grand Final,0.080452388893422,3,2,4.16666666666667,1,8,60,Accurate,4
2015,it,Italy,Il Volo,Grande Amore,3,,27,,3,292,,,366,292,,,Ciro Esposito;Francesco Boccia,,"Chiudo gli occhi e penso a lei\nIl profumo dolce della pelle sua\nE' una voce dentro che mi sta portando dove nasce il sole\nSole sono le parole\nMa se vanno scritte tutto può cambiare\nSenza più timore te lo voglio urlare questo grande amore\n\nAmore, solo amore è quello che sento\nDimmi perché quando penso, penso solo a te\nDimmi perché quando vedo, vedo solo te\nDimmi perché quando credo, credo solo in te grande amore\n\nDimmi che mai\nChe non mi lascerai mai\nDimmi chi sei\nRespiro dei giorni miei d'amore\nDimmi che sai\nChe solo me sceglierai Ora lo sai\nTu sei il mio unico grande amore\n\nDimmi perché quando penso, penso solo a te\nDimmi perché quando amo, amo solo te\nDimmi perché quando vivo, vivo solo in te grande amore\n\nDimmi che mai\nChe non mi lascerai mai.\nDimmi chi sei\nRespiro dei giorni miei d'amore \nDimmi che sai\nChe non mi sbaglierei mai \nDimmi che sei\nChe sei il mio unico grande amore",https://youtube.com/watch?v=1TOMqZV2jA8,,2015-it,0.125862068965517,0.113618677042802,0.157758620689655,16921349,20150523,146305,11000,Il Volo - Grande Amore (Italy) - LIVE at Eurovision 2015 Grand Final,0.0256237006586456,9,6,4.41666666666667,5,1,58,"Fixed, was 36 but for a lower streamed version",5.5
2004,gr,Greece,Sakis Rouvas,Shake It,3,0,16,10,3,252,3,238,,,,,Nikos Terzis,Nektarios Tirakis,"Everytime you wanna play\nTurn me on, all the way\nCome to me and take the ride\nSkin on skin, it's pure delight\nGivin' me the passion, you're burning my heart\nGonna rock you till you drop\nBaby, you're the reason I'm feeling so hot\nWant you now, I just can't stop\n\nI would trade my life\nFor a night with you\nDriven by desire\nMake that move on me\nIt's time for you to see\nThat my world's on fire\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nEveryday I can't resist\nNeed the taste of your lips\nDarlin', it's your body that's driving me nuts\nLet me in, I've got to touch\n\nI would trade my life\nFor a night with you\nDriven by desire\nMake that move on me\nIt's time for you to see\nThat my world's on fire\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake",https://youtube.com/watch?v=asZwDUTEXls,,2004-gr,0.120689655172414,,,13621967,20111019,72614,4500,Sakis Rouvas - Shake It - 🇬🇷 Greece - Grand Final - Eurovision 2004,0.0412719145322811,6,4,5.33333333333333,,,41,"Fixed, was missing",10
2007,rs,Serbia,Marija Šerifović,Molitva,1,0,17,15,1,268,1,298,,,,,Vladimir Graić,Saša Milošević Mare,"Ni oka da sklopim\nPostelja prazna tera san\nA život se topi\nI nestaje brzo, k'o dlanom o dlan\n\nK'o razum da gubim\nJer stvarnost i ne primećujem\nJoš uvek te ljubim\nJoš uvek ti slepo verujem\n\nK'o luda, ne znam kuda\nLjubavi se nove bojim\nA dane, žive rane\nViše ne brojim\n\nMolitva, kao žar na mojim usnama je\nMolitva, mesto reči samo ime tvoje\nNebo zna, kao ja\nKoliko puta sam ponovila\nTo nebo zna, baš kao ja\nDa je ime tvoje moja jedina molitva\n\nAl Bogu ne mogu lagati\nSve dok se molim\nA lažem ako kažem\nDa te ne volim\n\nMolitva, kao žar na mojim usnama je\nMolitva, mesto reči samo ime tvoje\nNebo zna, baš kao ja\nKoliko puta sam ponovila\nTo nebo zna, baš kao ja\nDa je ime tvoje moja molitva\n(Molitva, molitva)\n\nI nebo zna, baš kao ja\nKoliko puta sam ponovila\nTo nebo zna, baš kao ja\nDa je ime tvoje moja jedina molitva\n\nDa je ime tvoje moja molitva",https://youtube.com/watch?v=FSueQN1QvV4,,2007-rs,0.110016420361248,,,26752562,20120112,190172,15000,Marija Šerifović - Molitva - 🇷🇸 Serbia - Grand Final - Eurovision 2007,0.0810550673323134,4,6,5.91666666666667,,,42,"Fixed, was wrong name",7.5
2014,at,Austria,Conchita Wurst,Rise Like a Phoenix,1,2,11,6,1,290,1,169,311,224,,,Ali Zuckowski;Charlie Mason;Joey Patulka;Julian Maas,,"Waking in the rubble\nWalking over glass\nNeighbors say we’re trouble\nWell that time has passed\n\nPeering from the mirror\nNo, that isn’t me\nStranger getting nearer\nWho can this person be\n\nYou wouldn’t know me at all today\nFrom the fading light I fly\n\nRise like a phoenix\nOut of the ashes\nSeeking rather than vengeance\nRetribution\nYou were warned\nOnce I’m transformed\nOnce I’m reborn\nYou know I will rise like a phoenix\nBut you’re my flame\n\nGo about your business\nAct as if you’re free\nNo one could have witnessed\nWhat you did to me\n\nCause you wouldn’t know me today\nAnd you have got to see\nTo believe\nFrom the fading light I fly\n\nRise like a phoenix\nOut of the ashes\nSeeking rather than vengeance\nRetribution\nYou were warned\nOnce I’m transformed\nOnce I’m reborn\n\nI rise up to the sky\nYou threw me down but\nI’m gonna fly\n\nAnd rise like a phoenix\nOut of the ashes\nSeeking rather than vengeance\nRetribution\nYou were warned\nOnce I’m transformed\nOnce I’m reborn\nYou know I will rise like a phoenix\nBut you’re my flame",https://youtube.com/watch?v=QRUIava4WRM,,2014-at,0.135135135135135,0.104380242311277,0.144920782851817,15358135,20140510,80359,13000,Conchita Wurst - Rise Like a Phoenix (Austria) 2014 LIVE Eurovision Grand Final,0.0232565532402333,10,4,6.08333333333333,6,3,54,Accurate,8.5
