year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2004,final,al,ua,al,ua,5,,
2004,final,al,cs,al,cs,7,,
2004,final,al,gr,al,gr,12,,
2004,final,al,tr,al,tr,8,,
2004,final,al,cy,al,cy,0,,
2004,final,al,se,al,se,4,,
2004,final,al,al,al,al,0,,
2004,final,al,de,al,de,2,,
2004,final,al,ba,al,ba,10,,
2004,final,al,es,al,es,0,,
2004,final,al,ru,al,ru,0,,
2004,final,al,mt,al,mt,3,,
2004,final,al,hr,al,hr,0,,
2004,final,al,mk,al,mk,6,,
2004,final,al,fr,al,fr,1,,
2004,final,al,gb,al,gb,0,,
2004,final,al,pl,al,pl,0,,
2004,final,al,ro,al,ro,0,,
2004,final,al,is,al,is,0,,
2004,final,al,nl,al,nl,0,,
2004,final,al,at,al,at,0,,
2004,final,al,be,al,be,0,,
2004,final,al,ie,al,ie,0,,
2004,final,al,no,al,no,0,,
2004,final,ad,ua,ad,ua,10,,
2004,final,ad,cs,ad,cs,2,,
2004,final,ad,gr,ad,gr,8,,
2004,final,ad,tr,ad,tr,3,,
2004,final,ad,cy,ad,cy,4,,
2004,final,ad,se,ad,se,5,,
2004,final,ad,al,ad,al,0,,
2004,final,ad,de,ad,de,0,,
2004,final,ad,ba,ad,ba,0,,
2004,final,ad,es,ad,es,12,,
2004,final,ad,ru,ad,ru,0,,
2004,final,ad,mt,ad,mt,6,,
2004,final,ad,hr,ad,hr,0,,
2004,final,ad,mk,ad,mk,0,,
2004,final,ad,fr,ad,fr,7,,
2004,final,ad,gb,ad,gb,0,,
2004,final,ad,pl,ad,pl,0,,
2004,final,ad,ro,ad,ro,0,,
2004,final,ad,is,ad,is,0,,
2004,final,ad,nl,ad,nl,0,,
2004,final,ad,at,ad,at,0,,
2004,final,ad,be,ad,be,1,,
2004,final,ad,ie,ad,ie,0,,
2004,final,ad,no,ad,no,0,,
2004,final,at,ua,at,ua,4,,
2004,final,at,cs,at,cs,12,,
2004,final,at,gr,at,gr,2,,
2004,final,at,tr,at,tr,8,,
2004,final,at,cy,at,cy,6,,
2004,final,at,se,at,se,1,,
2004,final,at,al,at,al,5,,
2004,final,at,de,at,de,10,,
2004,final,at,ba,at,ba,7,,
2004,final,at,es,at,es,0,,
2004,final,at,ru,at,ru,0,,
2004,final,at,mt,at,mt,0,,
2004,final,at,hr,at,hr,3,,
2004,final,at,mk,at,mk,0,,
2004,final,at,fr,at,fr,0,,
2004,final,at,gb,at,gb,0,,
2004,final,at,pl,at,pl,0,,
2004,final,at,ro,at,ro,0,,
2004,final,at,is,at,is,0,,
2004,final,at,nl,at,nl,0,,
2004,final,at,at,at,at,0,,
2004,final,at,be,at,be,0,,
2004,final,at,ie,at,ie,0,,
2004,final,at,no,at,no,0,,
2004,final,by,ua,by,ua,10,,
2004,final,by,cs,by,cs,7,,
2004,final,by,gr,by,gr,6,,
2004,final,by,tr,by,tr,3,,
2004,final,by,cy,by,cy,8,,
2004,final,by,se,by,se,4,,
2004,final,by,al,by,al,0,,
2004,final,by,de,by,de,0,,
2004,final,by,ba,by,ba,0,,
2004,final,by,es,by,es,2,,
2004,final,by,ru,by,ru,12,,
2004,final,by,mt,by,mt,0,,
2004,final,by,hr,by,hr,5,,
2004,final,by,mk,by,mk,0,,
2004,final,by,fr,by,fr,0,,
2004,final,by,gb,by,gb,1,,
2004,final,by,pl,by,pl,0,,
2004,final,by,ro,by,ro,0,,
2004,final,by,is,by,is,0,,
2004,final,by,nl,by,nl,0,,
2004,final,by,at,by,at,0,,
2004,final,by,be,by,be,0,,
2004,final,by,ie,by,ie,0,,
2004,final,by,no,by,no,0,,
2004,final,be,ua,be,ua,5,,
2004,final,be,cs,be,cs,3,,
2004,final,be,gr,be,gr,8,,
2004,final,be,tr,be,tr,12,,
2004,final,be,cy,be,cy,4,,
2004,final,be,se,be,se,2,,
2004,final,be,al,be,al,1,,
2004,final,be,de,be,de,0,,
2004,final,be,ba,be,ba,0,,
2004,final,be,es,be,es,7,,
2004,final,be,ru,be,ru,0,,
2004,final,be,mt,be,mt,0,,
2004,final,be,hr,be,hr,0,,
2004,final,be,mk,be,mk,0,,
2004,final,be,fr,be,fr,10,,
2004,final,be,gb,be,gb,0,,
2004,final,be,pl,be,pl,0,,
2004,final,be,ro,be,ro,0,,
2004,final,be,is,be,is,0,,
2004,final,be,nl,be,nl,6,,
2004,final,be,at,be,at,0,,
2004,final,be,be,be,be,0,,
2004,final,be,ie,be,ie,0,,
2004,final,be,no,be,no,0,,
2004,final,ba,ua,ba,ua,6,,
2004,final,ba,cs,ba,cs,12,,
2004,final,ba,gr,ba,gr,5,,
2004,final,ba,tr,ba,tr,7,,
2004,final,ba,cy,ba,cy,0,,
2004,final,ba,se,ba,se,2,,
2004,final,ba,al,ba,al,4,,
2004,final,ba,de,ba,de,3,,
2004,final,ba,ba,ba,ba,0,,
2004,final,ba,es,ba,es,0,,
2004,final,ba,ru,ba,ru,0,,
2004,final,ba,mt,ba,mt,1,,
2004,final,ba,hr,ba,hr,10,,
2004,final,ba,mk,ba,mk,8,,
2004,final,ba,fr,ba,fr,0,,
2004,final,ba,gb,ba,gb,0,,
2004,final,ba,pl,ba,pl,0,,
2004,final,ba,ro,ba,ro,0,,
2004,final,ba,is,ba,is,0,,
2004,final,ba,nl,ba,nl,0,,
2004,final,ba,at,ba,at,0,,
2004,final,ba,be,ba,be,0,,
2004,final,ba,ie,ba,ie,0,,
2004,final,ba,no,ba,no,0,,
2004,final,hr,ua,hr,ua,8,,
2004,final,hr,cs,hr,cs,12,,
2004,final,hr,gr,hr,gr,7,,
2004,final,hr,tr,hr,tr,3,,
2004,final,hr,cy,hr,cy,4,,
2004,final,hr,se,hr,se,0,,
2004,final,hr,al,hr,al,6,,
2004,final,hr,de,hr,de,1,,
2004,final,hr,ba,hr,ba,10,,
2004,final,hr,es,hr,es,0,,
2004,final,hr,ru,hr,ru,0,,
2004,final,hr,mt,hr,mt,2,,
2004,final,hr,hr,hr,hr,0,,
2004,final,hr,mk,hr,mk,5,,
2004,final,hr,fr,hr,fr,0,,
2004,final,hr,gb,hr,gb,0,,
2004,final,hr,pl,hr,pl,0,,
2004,final,hr,ro,hr,ro,0,,
2004,final,hr,is,hr,is,0,,
2004,final,hr,nl,hr,nl,0,,
2004,final,hr,at,hr,at,0,,
2004,final,hr,be,hr,be,0,,
2004,final,hr,ie,hr,ie,0,,
2004,final,hr,no,hr,no,0,,
2004,final,cy,ua,cy,ua,8,,
2004,final,cy,cs,cy,cs,10,,
2004,final,cy,gr,cy,gr,12,,
2004,final,cy,tr,cy,tr,4,,
2004,final,cy,cy,cy,cy,0,,
2004,final,cy,se,cy,se,5,,
2004,final,cy,al,cy,al,0,,
2004,final,cy,de,cy,de,0,,
2004,final,cy,ba,cy,ba,0,,
2004,final,cy,es,cy,es,7,,
2004,final,cy,ru,cy,ru,6,,
2004,final,cy,mt,cy,mt,0,,
2004,final,cy,hr,cy,hr,0,,
2004,final,cy,mk,cy,mk,0,,
2004,final,cy,fr,cy,fr,0,,
2004,final,cy,gb,cy,gb,0,,
2004,final,cy,pl,cy,pl,2,,
2004,final,cy,ro,cy,ro,3,,
2004,final,cy,is,cy,is,0,,
2004,final,cy,nl,cy,nl,0,,
2004,final,cy,at,cy,at,0,,
2004,final,cy,be,cy,be,1,,
2004,final,cy,ie,cy,ie,0,,
2004,final,cy,no,cy,no,0,,
2004,final,dk,ua,dk,ua,5,,
2004,final,dk,cs,dk,cs,7,,
2004,final,dk,gr,dk,gr,3,,
2004,final,dk,tr,dk,tr,10,,
2004,final,dk,cy,dk,cy,6,,
2004,final,dk,se,dk,se,12,,
2004,final,dk,al,dk,al,4,,
2004,final,dk,de,dk,de,0,,
2004,final,dk,ba,dk,ba,8,,
2004,final,dk,es,dk,es,0,,
2004,final,dk,ru,dk,ru,0,,
2004,final,dk,mt,dk,mt,1,,
2004,final,dk,hr,dk,hr,0,,
2004,final,dk,mk,dk,mk,0,,
2004,final,dk,fr,dk,fr,0,,
2004,final,dk,gb,dk,gb,0,,
2004,final,dk,pl,dk,pl,0,,
2004,final,dk,ro,dk,ro,0,,
2004,final,dk,is,dk,is,2,,
2004,final,dk,nl,dk,nl,0,,
2004,final,dk,at,dk,at,0,,
2004,final,dk,be,dk,be,0,,
2004,final,dk,ie,dk,ie,0,,
2004,final,dk,no,dk,no,0,,
2004,final,ee,ua,ee,ua,12,,
2004,final,ee,cs,ee,cs,1,,
2004,final,ee,gr,ee,gr,5,,
2004,final,ee,tr,ee,tr,0,,
2004,final,ee,cy,ee,cy,7,,
2004,final,ee,se,ee,se,10,,
2004,final,ee,al,ee,al,0,,
2004,final,ee,de,ee,de,2,,
2004,final,ee,ba,ee,ba,0,,
2004,final,ee,es,ee,es,0,,
2004,final,ee,ru,ee,ru,8,,
2004,final,ee,mt,ee,mt,6,,
2004,final,ee,hr,ee,hr,0,,
2004,final,ee,mk,ee,mk,0,,
2004,final,ee,fr,ee,fr,0,,
2004,final,ee,gb,ee,gb,4,,
2004,final,ee,pl,ee,pl,0,,
2004,final,ee,ro,ee,ro,0,,
2004,final,ee,is,ee,is,0,,
2004,final,ee,nl,ee,nl,3,,
2004,final,ee,at,ee,at,0,,
2004,final,ee,be,ee,be,0,,
2004,final,ee,ie,ee,ie,0,,
2004,final,ee,no,ee,no,0,,
2004,final,fi,ua,fi,ua,8,,
2004,final,fi,cs,fi,cs,10,,
2004,final,fi,gr,fi,gr,6,,
2004,final,fi,tr,fi,tr,5,,
2004,final,fi,cy,fi,cy,7,,
2004,final,fi,se,fi,se,12,,
2004,final,fi,al,fi,al,3,,
2004,final,fi,de,fi,de,0,,
2004,final,fi,ba,fi,ba,0,,
2004,final,fi,es,fi,es,0,,
2004,final,fi,ru,fi,ru,4,,
2004,final,fi,mt,fi,mt,0,,
2004,final,fi,hr,fi,hr,1,,
2004,final,fi,mk,fi,mk,0,,
2004,final,fi,fr,fi,fr,0,,
2004,final,fi,gb,fi,gb,0,,
2004,final,fi,pl,fi,pl,0,,
2004,final,fi,ro,fi,ro,0,,
2004,final,fi,is,fi,is,2,,
2004,final,fi,nl,fi,nl,0,,
2004,final,fi,at,fi,at,0,,
2004,final,fi,be,fi,be,0,,
2004,final,fi,ie,fi,ie,0,,
2004,final,fi,no,fi,no,0,,
2004,final,fr,ua,fr,ua,2,,
2004,final,fr,cs,fr,cs,10,,
2004,final,fr,gr,fr,gr,6,,
2004,final,fr,tr,fr,tr,12,,
2004,final,fr,cy,fr,cy,5,,
2004,final,fr,se,fr,se,3,,
2004,final,fr,al,fr,al,1,,
2004,final,fr,de,fr,de,7,,
2004,final,fr,ba,fr,ba,0,,
2004,final,fr,es,fr,es,8,,
2004,final,fr,ru,fr,ru,0,,
2004,final,fr,mt,fr,mt,0,,
2004,final,fr,hr,fr,hr,0,,
2004,final,fr,mk,fr,mk,0,,
2004,final,fr,fr,fr,fr,0,,
2004,final,fr,gb,fr,gb,0,,
2004,final,fr,pl,fr,pl,0,,
2004,final,fr,ro,fr,ro,0,,
2004,final,fr,is,fr,is,0,,
2004,final,fr,nl,fr,nl,0,,
2004,final,fr,at,fr,at,4,,
2004,final,fr,be,fr,be,0,,
2004,final,fr,ie,fr,ie,0,,
2004,final,fr,no,fr,no,0,,
2004,final,de,ua,de,ua,6,,
2004,final,de,cs,de,cs,10,,
2004,final,de,gr,de,gr,7,,
2004,final,de,tr,de,tr,12,,
2004,final,de,cy,de,cy,8,,
2004,final,de,se,de,se,3,,
2004,final,de,al,de,al,5,,
2004,final,de,de,de,de,0,,
2004,final,de,ba,de,ba,0,,
2004,final,de,es,de,es,2,,
2004,final,de,ru,de,ru,0,,
